Content,lien,likes,sentiment
perdón charly te re copie kskj nada aguante todo QUE SE YOOOO*descorcha un shampo*,https://twitter.com/Sansoneee/status/1609327929187516417,1,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"My shampo and conditioner ran out the same time, you know what that means?",https://twitter.com/archiibld/status/1609322710727036928,1,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
@Kamillyramos200 O sabonete falando do shampo,https://twitter.com/gegelumbigente/status/1609310545198342145,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
BLACK MAGIC SHAMPO untuk pemanjang rambut dan pelembut rambut info/order sms/bbm 277F90A9-089607186713 https://t.co/b5kqcfuPhT,https://twitter.com/dwihanna222/status/1609293443922284545,0,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
bismillah smpe gmau jdi duta shampo lain https://t.co/nRmcDR1Gte,https://twitter.com/cellzyx/status/1609281717612969984,6,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"@Lek_ANCAP todos queremos monedas volátiles y de dudosa credibilidad, claro, para 3 personas xd, esta persona solo a leído las instrucciones del shampo.",https://twitter.com/KeynesianMaths/status/1609269808532541442,3,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
@eduardoenred Honestamente me dan ganas de enviarle un shampo y un peine.,https://twitter.com/nightowl2311/status/1609259718102351875,3,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
@stayelectrifyin @tanyakanrl Pake shampo apa dah lebat banget rambutnya.,https://twitter.com/ramaalansyah_/status/1609244975535099905,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"/info gess beli vitamin rambut loreal dapet gratis shampo, di official storenya https://t.co/FWLbzLkq44",https://twitter.com/berburusales/status/1609244798413860864,14,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
2 BOTOL SHAMPO DAN 1 UNIT LOSYEN TANGAN BERNILAI RM126?! WTF IS THIS SUPERMARKET YAHUDI MANA NI?!,https://twitter.com/syazkhyar/status/1609231750101884928,7,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
@Misogi_no Jdkskdkd ahora ya no necesitará hecharle agua al shampo,https://twitter.com/Batiql/status/1609227369583108105,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"Mau keramas, shampo abis jam segini beli dimana ya. Mana tahun baru lagi",https://twitter.com/Rizkitrh/status/1609223382306033665,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
@lexchristiannns itu shampo ya kak,https://twitter.com/lexskyuuuy/status/1609221314908409856,1,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
Temukan dan dapatkan GRINN LIVING Haru bathroom bottle 500ml Frosted Amber botol sabun shampo Soap bamboo aesthetic frosty bottle tutup bambu kayu palstik refill dispenser sabun soap shampoo sampo hanya Rp 59.900 di Shopee sekarang juga! https://t.co/bnYuztJ3lD #ShopeeID https://t.co/um8sbOhsYA,https://twitter.com/BestRecmnd4U/status/1609218169092313089,0,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
"GRINN LIVING Haru bathroom bottle 500ml Frosted Amber botol sabun shampo Soap bamboo aesthetic frosty bottle tutup bambu kayu palstik refill dispenser sabun soap shampoo sampo 

Rating : 4,9
Cek Harga : https://t.co/13K0G1XCD9 https://t.co/ne1YrLdIi6",https://twitter.com/AriatarTina/status/1609218158086467585,0,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
"Congrat y Garuda Muda yg udh brhsil, pulang gih, pd istirht, jgn msuk infotaiment atau ikut2an iklan produk pmbrsih wjah,shampo atau apalah",https://twitter.com/SariDwi49/status/1609206053052510208,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
BLACK MAGIC SHAMPO untuk pemanjang rambut dan pelembut rambut info/order sms/bbm 277F90A9-089607186713 https://t.co/2cfeqDhlEA,https://twitter.com/hanna_kosmetik/status/1609193249532411907,0,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
BLACK MAGIC SHAMPO untuk pemanjang rambut dan pelembut rambut info/order sms/bbm 277F90A9-089607186713 https://t.co/2cfeqDhlEA,https://twitter.com/hanna_kosmetik/status/1609193213310685184,0,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
@galiamavi @ohmybeautybank Pake shampo apaa kak skrg??,https://twitter.com/dmriayry/status/1609183710129098752,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
BLACK MAGIC SHAMPO untuk pemanjang rambut dan pelembut rambut info/order sms/bbm 277F90A9-089607186713 https://t.co/b5kqcfuPhT,https://twitter.com/dwihanna222/status/1609180260809019393,0,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
"Harum banget lagi, padahal sama kita aja gapernah dikasih harum kecuali shampo wkwk",https://twitter.com/likeachocho/status/1609176821119045634,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"@addictedmoo Aku?? 
Jadi, duta shampo lain?? Ahahahah uppsss",https://twitter.com/tachaan__/status/1609173239426863106,0,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
"Giveaway edisi tahun baru 2023🎉

Isinya make-up, shampo &amp; conditioner untuk 1 orang pemenang 🥳 semuanya baru ya ‼️

Rules :
- Follow @oreodicelupin 
- Rt &amp; 💜 twit giveaway ini
- RT &amp; 💜 twit thread yg ada dikolom reply
- Reply ""Happy new year 2023 🎉""
- Ongkir 50% dari aku https://t.co/Yueoaeu0jd",https://twitter.com/oreodicelupin/status/1609172226137534465,210,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
